,GDP,FEDFUNDS,LIBOR,MORTGAGE30US,REAL_USER_COST,UNEMPLOYMENT_RT,XLB,XLF,XLI,XLK,XLU,XLV,XLY,GSPC
3578,0.0,1.0,1.0,0.0,0.0,0.0,0.7920354887432466,0.08577741482994544,0.6770155951318491,0.8548430468867165,0.8623742445153366,0.8928233555769683,0.9192580993057512,0.8998075304482467
3579,0.0,1.0,1.0,0.0,0.0,0.0,0.8080489393698203,0.08909068694743005,0.6854829215178366,0.8640997518220692,0.8702213146091313,0.9021488695460472,0.9291316774888796,0.9103018744135922
3580,0.0,1.0,1.0,0.0,0.0,0.0,0.8010957569849615,0.08688182326515892,0.6751748597926751,0.8559162183199165,0.8762575164693989,0.8995810252048674,0.9209190783646584,0.9033539367656044
3581,0.0,1.0,1.0,0.0,0.0,0.0,0.7846608088099096,0.08724997501417814,0.6728432554548087,0.8383417950708779,0.8778672112345214,0.8990403992609727,0.9133523412285868,0.8953673242650753
3582,0.0,1.0,1.0,0.0,0.0,0.0,0.8021492597248363,0.09068598778725796,0.6836421861786626,0.8505500540948514,0.8800805031593293,0.9102581555906104,0.9207344860240296,0.9053526862338152
3583,0.0,1.0,1.0,0.0,0.0,0.0,0.794142494222996,0.08872255860433292,0.6760338571344645,0.8453178699752757,0.8889335941040901,0.9171509043690914,0.9097535650011797,0.9020049021088604
3584,0.0,1.0,1.0,0.0,0.0,0.0,0.7766541236851763,0.08405939674044449,0.6620444183546432,0.8277434467262372,0.8991951295910976,0.9129611821962276,0.8966503248705513,0.8879228311360796
3585,0.0,1.0,1.0,0.0,0.0,0.0,0.7829752205015315,0.08663641217173483,0.6624125466977404,0.8280118163493035,0.8973843381120412,0.9147181391784934,0.8980344858198657,0.8895036253601543
3586,0.0,1.0,1.0,0.0,0.0,0.0,0.7715971980058279,0.08283224764963583,0.6540679609673481,0.8251944470722161,0.8776659610116455,0.8974185214292891,0.8911137514746443,0.8797086012400854
3587,0.0,1.0,1.0,0.0,0.0,0.0,0.7718078664029602,0.08221868480719252,0.6500183619459028,0.8194258307655731,0.8619718208240561,0.885930503684632,0.8818861056810159,0.8716930945650765
3588,0.0,1.0,1.0,0.0,0.0,0.0,0.7737042034855774,0.08111425296605695,0.6534544449367491,0.8254628166952824,0.8601609525905287,0.8924179118975112,0.8886223180869588,0.8741097992774234
3589,0.0,1.0,1.0,0.0,0.0,0.0,0.7610620098528669,0.07620568000874445,0.6411830008405067,0.8090957496909771,0.8655935572911106,0.8839031821734912,0.875057667506109,0.8588814580121678
3590,0.0,1.0,1.0,0.0,0.0,0.0,0.7960388313056133,0.07829182644134253,0.6471959822330327,0.7921920457935607,0.8772636140748358,0.8867413910435461,0.8664759541019804,0.8557322960796163
3591,0.0,1.0,1.0,0.0,0.0,0.0,0.8282764813329997,0.08700454051483197,0.6684255280902663,0.8238529060159498,0.8782696349258019,0.9063386948327662,0.893974299142237,0.8800728092785459
3592,0.0,1.0,1.0,0.0,0.0,0.0,0.8369153324033434,0.08909068694743005,0.6772609828193511,0.836597801933034,0.9036217134407134,0.9153939473868256,0.8991418286595871,0.8895408038783661
3593,0.0,1.0,1.0,0.0,0.0,0.0,0.8510325263244067,0.09031783603823873,0.6788563304710231,0.8481352392523633,0.9110663598432276,0.92161099107083,0.9044938097148654,0.896716358921819
3594,0.0,1.0,1.0,0.0,0.0,0.0,0.8617783828745,0.08982699044546855,0.6862191782040309,0.8667829362876236,0.902012095430062,0.9343154429677136,0.9197194393546224,0.909068719540514
3595,0.0,1.0,1.0,0.0,0.0,0.0,0.8638854687313564,0.09264941697018296,0.6874463038889174,0.8772470998207311,0.8937626016449864,0.9379645391966828,0.9287625632089724,0.9146096321256344
3596,0.0,1.0,1.0,0.0,0.0,0.0,0.8630426343886137,0.09277213421985604,0.6794698465016221,0.8772470998207311,0.8865191287108773,0.935937217685542,0.9329149756555648,0.9141916768814984
3597,0.0,1.0,1.0,0.0,0.0,0.0,0.8670459769509806,0.08945883869644927,0.6814333224963914,0.8714783811610665,0.902012095430062,0.9418839999545268,0.9326381575459723,0.9117585045102696
3598,0.0,1.0,1.0,0.0,0.0,0.0,0.8742099081100783,0.0905632705375849,0.6860964375484356,0.8745639153551767,0.9044265608232748,0.9403973043872808,0.9423272137898222,0.9166414179401908
3599,0.0,1.0,1.0,0.0,0.0,0.0,0.8689423140335977,0.09129955062970124,0.6824150604937761,0.8655754776898688,0.917102638457966,0.9375590955172258,0.9447263510071936,0.914713085393702
3600,0.0,1.0,1.0,0.0,0.0,0.0,0.8577750403121334,0.08823168960564065,0.6792244588141202,0.8663804842060459,0.913682075459316,0.9431004341067536,0.9451877614574148,0.9158262183112488
3601,0.0,1.0,1.0,0.0,0.0,0.0,0.8672567257252195,0.09264941697018296,0.6971407559597914,0.8848939964297731,0.9086518944500148,0.953642382228059,0.9534926567519506,0.9274461217097392
3602,0.0,1.0,1.0,0.0,0.0,0.0,0.8605142117374931,0.0920358307218176,0.6964044992735973,0.8886503523285274,0.9179074090860562,0.9648600354438412,0.955522750090765,0.9310504174046385
3603,0.0,1.0,1.0,0.0,0.0,0.0,0.8758955767955634,0.09350841431197238,0.7121119327369972,0.9039441455466112,0.925754555934322,0.9704013740333688,0.9631816425944504,0.9425213036445356
3604,0.0,1.0,1.0,0.0,0.0,0.0,0.8647282226969919,0.09105411613035508,0.7029083496648155,0.8952239751513473,0.9207243749250204,0.9710771822417008,0.9542308149104146,0.9409819311391204
